id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek,rank
1c19a247-acb7-48eb-b0e6-f59f5397e385,Dalton,Schultz,189.6,96,TE26,TE,Houston Texans,,,189.6
2aee5be9-da00-4310-9a4f-b653318ecc24,RJ,Harvey,190.7,35,RB56,RB,,,,190.7
ef9d9e54-9d72-4e99-a476-ddac6b0a4e8f,Jordan,Mason,190.8,53,RB57,RB,San Francisco 49ers,,,190.8
23037895-0e86-478f-95a0-7ad01ecb1567,Nick,Chubb,192.7,40,RB58,RB,Cleveland Browns,,,192.7
ed45a726-b401-4d71-bd3c-c70044b355f3,Jack,Bech,194.1,25,WR81,WR,,,,194.1
9374f6d2-ab28-401d-bb35-5535d00aacbf,Ja'Tavion,Sanders,195.7,71,TE27,TE,Carolina Panthers,,,195.7
0d2598f2-8c30-4d9b-8e1a-be92e18f58d6,DJ,Giddens,196.3,63,RB59,RB,,,,196.3
65fb4cd6-e233-4182-85e8-7ea9566aa161,Michael,Wilson,199.6,78,WR82,WR,Arizona Cardinals,,,199.6
db5618f5-d4fd-46fc-a2bf-c612fd5801e8,Troy,Franklin,199.8,72,WR83,WR,Denver Broncos,,,199.8
8f1058cf-95ca-48b8-b785-1c04da4f24c1,Kendre,Miller,200.7,57,RB60,RB,New Orleans Saints,,,200.7
f5f29b7c-b9bf-47b4-8b26-9ca40c7ff699,Mike,Gesicki,201,75,TE28,TE,Cincinnati Bengals,,,201
f50825a7-fe93-472d-a790-713afb641314,Justice,Hill,201.7,50,RB61,RB,Baltimore Ravens,,,201.7
206612e1-1f63-42f7-b672-80af31f56cba,Jalen,Tolbert,202.2,67,WR84,WR,Dallas Cowboys,,,202.2
3ce97ebd-3636-4cd4-89fb-db266c4d6da6,Derek,Carr,202.8,131,QB30,QB,New Orleans Saints,,,202.8
d00e8ff8-02fe-4e7c-bce9-15af311bbb6c,DeAndre,Hopkins,205.8,101,WR85,WR,Kansas City Chiefs,,,205.8
26e82785-f295-49aa-b38e-6245955cbf34,Savion,Williams,207.1,97,WR86,WR,,,,207.1
7dfbbe14-fd79-427e-93dd-f45f5e29177b,Jaxson,Dart,208.3,0,QB31,QB,,,,208.3
a5f336de-a427-4ab1-b713-7d073044e218,MarShawn,Lloyd,210.2,37,RB62,RB,Green Bay Packers,,,210.2
f4b087a1-665e-4ed2-9847-561647ea93c3,Tyler,Higbee,211.7,64,TE29,TE,Los Angeles Rams,,,211.7
6b107a45-cf1a-4dfd-8cc8-945831ad1667,Woody,Marks,213.7,105,RB63,RB,,,,213.7
dbab85dc-e1d8-422c-9858-6d5f17075ca1,Chig,Okonkwo,213.9,85,TE30,TE,Tennessee Titans,,,213.9
3f4d383d-89ce-41c9-b69c-7fac3508a46e,Malik,Washington,214.9,77,WR87,WR,Miami Dolphins,,,214.9
b2646fea-6cd2-43c6-87a6-f7832aa120c4,Tez,Johnson,215,20,WR88,WR,,,,215
46a140dc-52d0-4533-b640-180836f05f56,Damien,Martinez,215.6,27,RB64,RB,,,,215.6
a8b9da3b-5f2f-44ae-85f8-ff1377ac7408,Audric,Estime,215.8,52,RB65,RB,Denver Broncos,,,215.8
de1add5b-8fea-401d-b1cf-9c372ce6b6ad,Kayshon,Boutte,217.3,8,WR89,WR,New England Patriots,,,217.3
